gene_id,K002000061_49347,K002000061_49348,K002000061_49350,K002000061_49346,K002000061_49349,K002000061_49351
XLOC_010767,6,0,5,9,14,26
XLOC_010764,0,0,0,0,0,5
XLOC_010765,24,30,36,30,23,22
XLOC_013154,111,122,166,210,275,189
XLOC_013155,0,0,0,0,0,0
XLOC_013156,5609,10325,6695,6703,5098,7301
XLOC_013157,2102,3830,3508,3293,5210,3857
XLOC_013150,15,10,18,5,22,13
XLOC_013151,1581,1947,1776,1500,1838,1914
XLOC_013152,7149,9138,7384,7864,9193,9171
XLOC_013153,2103,2081,2021,1875,2304,1972
XLOC_013158,4385,4095,4246,3856,4794,4037
XLOC_013159,13,25,22,21,48,26
XLOC_010498,142,194,169,181,165,171
XLOC_010499,143,168,182,175,125,191
XLOC_010494,616,814,781,725,842,752
XLOC_010495,940,1075,1057,959,1175,998
XLOC_010496,0,0,0,0,0,0
XLOC_010497,426,456,391,288,424,322
XLOC_010490,64,65,94,73,107,47
XLOC_010491,15,24,50,32,33,35
XLOC_010492,26,17,18,31,13,19
XLOC_010493,780,831,983,776,951,850
XLOC_020880,1,0,0,0,0,3
XLOC_020881,0,3,0,8,10,0
XLOC_020882,4530,5317,4523,4503,5507,5026
XLOC_020883,459,597,495,450,545,561
XLOC_012405,0,0,0,0,0,0
XLOC_003996,129,155,146,126,150,154
XLOC_012407,2388,2455,2172,2090,2806,2340
XLOC_012406,0,0,0,0,0,3
XLOC_012409,40,77,64,61,83,69
XLOC_012408,2758,2615,2604,2284,2889,2719
XLOC_022015,572,1573,1276,1193,1850,1412
XLOC_022014,59,143,154,107,153,136
XLOC_022017,331,467,396,353,399,376
XLOC_022016,578,589,674,591,742,714
XLOC_022011,0,0,0,0,0,7
XLOC_022010,4237,5555,4922,4858,5667,5620
XLOC_022013,0,0,0,0,0,0
XLOC_022012,86,94,99,70,129,86
XLOC_024389,6,0,0,0,0,0
XLOC_022018,0,0,0,0,0,0
XLOC_017122,20918,21708,20805,19595,22819,21229
XLOC_004549,7148,13354,8826,8619,6960,10411
XLOC_004548,0,0,0,0,0,0
XLOC_004547,644,982,782,769,728,834
XLOC_004546,10,9,9,6,5,9
XLOC_004545,4091,4023,4156,3401,4707,3738
XLOC_004544,6224,7246,6391,5720,6440,6445
XLOC_004543,2896,2632,2460,2928,3405,3045
XLOC_004542,0,0,0,0,0,0
XLOC_004541,8120,8883,8554,8251,10444,9775
XLOC_004540,1,3,1,3,2,0
XLOC_000259,23834,21939,24560,14830,17041,15481
XLOC_000258,0,0,0,0,0,0
XLOC_000257,0,0,0,0,0,0
XLOC_000256,0,0,0,0,0,0
XLOC_000255,12,5,9,7,15,5
XLOC_000254,0,0,0,0,0,0
XLOC_000253,7,0,2,3,2,0
XLOC_000252,0,0,0,0,0,0
XLOC_000251,0,0,0,0,0,0
XLOC_000250,0,0,3,1,0,0
XLOC_011170,49,124,111,75,97,89
XLOC_011171,3220,3671,3478,3339,4080,3587
XLOC_011172,184,190,198,192,158,271
XLOC_011173,0,11,11,7,11,14
XLOC_011174,0,0,0,0,0,0
XLOC_011175,5,4,3,7,5,4
XLOC_011176,3,0,5,2,2,6
XLOC_011177,2,0,2,0,2,7
XLOC_011178,0,0,0,0,0,0
XLOC_011179,1996,2531,1956,2209,2116,2407
XLOC_022909,0,0,0,0,0,0
XLOC_022908,1,1,1,0,0,0
XLOC_022903,2576,2419,2697,2506,2953,2431
XLOC_022902,0,0,2,2,3,0
XLOC_022901,54,72,69,49,54,62
XLOC_022900,798,801,869,709,854,799
XLOC_022907,0,0,0,0,0,0
XLOC_022906,0,0,0,0,0,0
XLOC_022905,0,0,0,0,0,0
XLOC_022904,4,5,0,0,4,0
XLOC_023058,3,0,0,0,0,0
XLOC_023059,516,498,656,519,688,596
XLOC_023056,0,0,0,0,0,0
XLOC_023057,0,0,0,0,0,0
XLOC_023054,4140,5870,4363,4352,4604,4918
XLOC_023055,2692,4933,4258,4369,6316,4538
XLOC_023052,0,0,0,0,0,0
XLOC_023053,4933,6752,5766,5226,5426,6262
XLOC_023050,0,0,0,0,0,0
XLOC_023051,0,0,0,0,0,0
XLOC_016689,1142,896,1001,925,1173,1113
XLOC_016688,0,0,0,0,0,0
XLOC_006941,0,3,0,0,0,0
XLOC_006940,0,3,0,0,0,0
XLOC_006943,0,0,0,0,0,0
XLOC_006942,0,0,0,0,0,0
XLOC_006945,124,69,61,47,115,96
XLOC_006944,0,0,0,0,0,0
XLOC_006947,293,267,237,193,241,221
XLOC_006946,4223,4047,3866,3483,4213,3864
XLOC_006949,6,6,5,4,5,3
XLOC_006948,0,0,0,0,0,0
XLOC_024439,3,0,0,0,12,7
XLOC_024438,106,144,131,118,146,141
XLOC_024435,281,261,280,233,325,269
XLOC_024434,249,333,299,310,310,274
XLOC_024437,0,1,0,2,5,0
